Chromosome Name	Ensembl Gene ID	Ensembl Transcript ID	Ensembl Exon ID	Exon Chr Start (bp)	Exon Chr End (bp)	5' UTR Start	5' UTR End	3' UTR Start	3' UTR End	Strand	Exon Rank in Transcript
5	ENSG00000228716	ENST00000504396	ENSE00002041932	79924042	79924984			79924042	79924905	-1	5
5	ENSG00000228716	ENST00000513048	ENSE00002079310	79950223	79950366					-1	1
5	ENSG00000228716	ENST00000513048	ENSE00003501279	79945208	79945313					-1	2
5	ENSG00000228716	ENST00000513048	ENSE00003541160	79929696	79929811					-1	3
5	ENSG00000228716	ENST00000513048	ENSE00002053186	79924357	79924984					-1	4
5	ENSG00000228716	ENST00000508282	ENSE00002081821	79949827	79949920					-1	1
5	ENSG00000228716	ENST00000508282	ENSE00003501279	79945208	79945313					-1	2
5	ENSG00000228716	ENST00000508282	ENSE00003587990	79933702	79933828					-1	3
5	ENSG00000228716	ENST00000508282	ENSE00003541160	79929696	79929811					-1	4
5	ENSG00000228716	ENST00000508282	ENSE00002053275	79924883	79924984					-1	5
5	ENSG00000228716	ENST00000513314	ENSE00002054951	79949827	79949854					-1	1
5	ENSG00000228716	ENST00000513314	ENSE00002065031	79944760	79945313					-1	2
11	ENSG00000110195	ENST00000312293	ENSE00001198708	71900602	71900803	71900602	71900803			1	1
11	ENSG00000110195	ENST00000312293	ENSE00000797438	71903210	71903385	71903210	71903217			1	2
11	ENSG00000110195	ENST00000312293	ENSE00002463052	71906315	71906503					1	3
11	ENSG00000110195	ENST00000312293	ENSE00002490205	71906656	71906791					1	4
11	ENSG00000110195	ENST00000312293	ENSE00002258617	71906941	71907344			71907222	71907344	1	5
11	ENSG00000110195	ENST00000393681	ENSE00001516236	71900712	71900803	71900712	71900803			1	1
11	ENSG00000110195	ENST00000393681	ENSE00001516234	71901620	71901685	71901620	71901685			1	2
11	ENSG00000110195	ENST00000393681	ENSE00000797438	71903210	71903385	71903210	71903217			1	3
11	ENSG00000110195	ENST00000393681	ENSE00002463052	71906315	71906503					1	4
11	ENSG00000110195	ENST00000393681	ENSE00002490205	71906656	71906791					1	5
11	ENSG00000110195	ENST00000393681	ENSE00001516232	71906941	71907342			71907222	71907342	1	6
11	ENSG00000110195	ENST00000393679	ENSE00001516233	71901258	71901685	71901258	71901685			1	1
11	ENSG00000110195	ENST00000393679	ENSE00000797438	71903210	71903385	71903210	71903217			1	2
11	ENSG00000110195	ENST00000393679	ENSE00002463052	71906315	71906503					1	3
11	ENSG00000110195	ENST00000393679	ENSE00002490205	71906656	71906791					1	4
11	ENSG00000110195	ENST00000393679	ENSE00001516232	71906941	71907342			71907222	71907342	1	5
11	ENSG00000110195	ENST00000393676	ENSE00001516230	71903169	71903385	71903169	71903217			1	1
11	ENSG00000110195	ENST00000393676	ENSE00002463052	71906315	71906503					1	2
11	ENSG00000110195	ENST00000393676	ENSE00002490205	71906656	71906791					1	3
11	ENSG00000110195	ENST00000393676	ENSE00002263906	71906941	71907345			71907222	71907345	1	4
17	ENSG00000076351	ENST00000584729	ENSE00003483605	26732905	26733228					-1	1
17	ENSG00000076351	ENST00000584729	ENSE00003578177	26731634	26732486					-1	2
17	ENSG00000076351	ENST00000584729	ENSE00003532201	26729256	26729339					-1	3
17	ENSG00000076351	ENST00000584729	ENSE00002722767	26727626	26727783					-1	4
17	ENSG00000076351	ENST00000584729	ENSE00002734608	26721775	26726729					-1	5
17	ENSG00000076351	ENST00000583295	ENSE00002698783	26732905	26733219					-1	1
17	ENSG00000076351	ENST00000583295	ENSE00003578177	26731634	26732486					-1	2
17	ENSG00000076351	ENST00000583295	ENSE00002722767	26727626	26727783					-1	3
17	ENSG00000076351	ENST00000583295	ENSE00002710897	26722695	26726729					-1	4
17	ENSG00000076351	ENST00000582735	ENSE00002707682	26731634	26731839					-1	1
17	ENSG00000076351	ENST00000582735	ENSE00002700898	26726362	26726729			26726362	26726562	-1	2
17	ENSG00000076351	ENST00000582345	ENSE00002724722	26727534	26728063					-1	1
17	ENSG00000076351	ENST00000578217	ENSE00002688631	26732699	26732765					-1	1
17	ENSG00000076351	ENST00000578217	ENSE00002706114	26731258	26731786					-1	2
17	ENSG00000076351	ENST00000582590	ENSE00002692920	26732905	26733186					-1	1
17	ENSG00000076351	ENST00000582590	ENSE00002716455	26731334	26732486					-1	2
17	ENSG00000076351	ENST00000584995	ENSE00002729927	26733475	26733648	26733475	26733648			-1	1
17	ENSG00000076351	ENST00000584995	ENSE00002720830	26732905	26733015	26732911	26733015			-1	2
17	ENSG00000076351	ENST00000584995	ENSE00002688649	26731742	26732486					-1	3
17	ENSG00000076351	ENST00000584426	ENSE00002710017	26733475	26733617	26733475	26733617			-1	1
17	ENSG00000076351	ENST00000584426	ENSE00002715729	26732066	26732486	26732451	26732486			-1	2
17	ENSG00000076351	ENST00000581516	ENSE00002696086	26733742	26734215	26733742	26734215			-1	1
17	ENSG00000076351	ENST00000581516	ENSE00002711734	26733475	26733641	26733475	26733641			-1	2
17	ENSG00000076351	ENST00000581516	ENSE00002720830	26732905	26733015	26732911	26733015			-1	3
17	ENSG00000076351	ENST00000581516	ENSE00002693706	26732395	26732486					-1	4
17	ENSG00000076351	ENST00000440501	ENSE00003507580	26732905	26733228	26733133	26733228			-1	1
17	ENSG00000076351	ENST00000440501	ENSE00003563649	26731634	26732486					-1	2
17	ENSG00000076351	ENST00000440501	ENSE00003673952	26729256	26729339					-1	3
17	ENSG00000076351	ENST00000440501	ENSE00001799852	26727722	26727783					-1	4
17	ENSG00000076351	ENST00000440501	ENSE00000705629	26727626	26727720					-1	5
17	ENSG00000076351	ENST00000440501	ENSE00001335347	26721661	26726729			26721661	26726671	-1	6
17	ENSG00000076351	ENST00000321666	ENSE00003507580	26732905	26733228	26733133	26733228			-1	1
17	ENSG00000076351	ENST00000321666	ENSE00003563649	26731634	26732486					-1	2
17	ENSG00000076351	ENST00000321666	ENSE00000705547	26727725	26727783					-1	3
17	ENSG00000076351	ENST00000321666	ENSE00000705629	26727626	26727720					-1	4
17	ENSG00000076351	ENST00000321666	ENSE00001335347	26721661	26726729			26721661	26726671	-1	5
MT	ENSG00000210196	ENST00000387461	ENSE00001544473	15956	16023					-1	1
